127.0.0.1 - - [19/Aug/2022:09:13:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Aug/2022:09:13:46 +0900] "GET /mgz/ HTTP/1.1" 200 2793
0:0:0:0:0:0:0:1 - - [19/Aug/2022:09:13:46 +0900] "GET /mgz/resources/js/move.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:09:13:46 +0900] "GET /mgz/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:09:13:46 +0900] "GET /mgz/resources/js/hoValidChecker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:09:13:46 +0900] "GET /mgz/resources/js/joinChecker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:09:13:46 +0900] "GET /mgz/resources/css/login2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:09:13:46 +0900] "GET /mgz/resources/css/img/mgzLogo.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:09:13:46 +0900] "GET /mgz/resources/css/Cafe24Dangdanghae.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:09:13:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Aug/2022:09:16:26 +0900] "POST /mgz/login HTTP/1.1" 200 2737
0:0:0:0:0:0:0:1 - - [19/Aug/2022:09:16:26 +0900] "GET /mgz/resources/profilePhoto/1.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2022:09:16:28 +0900] "GET /mgz/logout HTTP/1.1" 200 2793
0:0:0:0:0:0:0:1 - - [19/Aug/2022:09:16:32 +0900] "GET /mgz/myInfo HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [19/Aug/2022:09:16:40 +0900] "POST /mgz/login HTTP/1.1" 200 2737
0:0:0:0:0:0:0:1 - - [19/Aug/2022:09:16:41 +0900] "GET /mgz/logout HTTP/1.1" 200 2793
