127.0.0.1 - - [02/Sep/2022:11:48:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:48:11 +0900] "GET /Sep02_2_RESTAPI/j01_RESTAPI.html HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:48:11 +0900] "GET /Sep02_2_RESTAPI/jQuery.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:48:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:48:21 +0900] "GET /Sep02_2_RESTAPI/snack.get?n=%EC%96%91%ED%8C%8C%EB%A7%81&p=2500 HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:49:07 +0900] "GET /Sep02_2_RESTAPI/snack.get?n=%EC%9E%90%EA%B0%88%EC%B9%98&p=2200 HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:50:00 +0900] "GET /Sep02_2_RESTAPI/j01_RESTAPI.html HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:50:00 +0900] "GET /Sep02_2_RESTAPI/jQuery.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:50:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:50:05 +0900] "GET /Sep02_2_RESTAPI/snack.reg?n=%EC%9E%90%EA%B0%88%EC%B9%98&p=2500 HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:51:50 +0900] "GET /Sep02_2_RESTAPI/j01_RESTAPI.html HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:51:50 +0900] "GET /Sep02_2_RESTAPI/jQuery.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:51:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:51:55 +0900] "GET /Sep02_2_RESTAPI/snack.reg?n=%EC%9E%90%EA%B0%88%EC%B9%98&p=2500 HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:55:04 +0900] "GET /Sep02_2_RESTAPI/j01_RESTAPI.html HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:55:04 +0900] "GET /Sep02_2_RESTAPI/jQuery.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [02/Sep/2022:11:55:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Sep/2022:12:12:11 +0900] "GET /Sep02_2_RESTAPI/j01_RESTAPI.html HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [02/Sep/2022:12:12:11 +0900] "GET /Sep02_2_RESTAPI/jQuery.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [02/Sep/2022:12:12:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Sep/2022:12:12:53 +0900] "GET /Sep02_2_RESTAPI/j01_RESTAPI.html HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [02/Sep/2022:12:12:53 +0900] "GET /Sep02_2_RESTAPI/jQuery.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [02/Sep/2022:12:12:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Sep/2022:12:15:09 +0900] "GET /Sep02_2_RESTAPI/j01_RESTAPI.html HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [02/Sep/2022:12:15:09 +0900] "GET /Sep02_2_RESTAPI/jQuery.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [02/Sep/2022:12:15:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Sep/2022:12:33:25 +0900] "GET /Sep02_2_RESTAPI/j01_RESTAPI.html HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [02/Sep/2022:12:33:25 +0900] "GET /Sep02_2_RESTAPI/jQuery.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [02/Sep/2022:12:33:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Sep/2022:12:35:07 +0900] "GET /Sep02_2_RESTAPI/j01_RESTAPI.html HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [02/Sep/2022:12:35:07 +0900] "GET /Sep02_2_RESTAPI/jQuery.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [02/Sep/2022:12:35:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
